9011,Central Area of Hokkaido (Do'o)
9012,Southern Area of Hokkaido (Donan)
9013,Northern Area of Hokkaido (Dohoku)
9014,Eastern Area of Hokkaido (Doto)
9020,Aomori
9030,Iwate
9040,Miyagi
9050,Akita
9060,Yamagata
9070,Fukushima
9080,Ibaraki
9090,Tochigi
9100,Gunma
9110,Saitama
9120,Chiba
9131,Tokyo
9132,Izu Islands
9133,Ogasawara
9140,Kanagawa
9150,Niigata
9160,Toyama
9170,Ishikawa
9180,Fukui
9190,Yamanashi
9200,Nagano
9210,Gifu
9220,Shizuoka
9230,Aichi
9240,Mie
9250,Shiga
9260,Kyoto
9270,Osaka
9280,Hyogo
9290,Nara
9300,Wakayama
9310,Tottori
9320,Shimane
9330,Okayama
9340,Hiroshima
9360,Tokushima
9370,Kagawa
9380,Ehime
9390,Kochi
9350,Yamaguchi
9400,Fukuoka
9410,Saga
9420,Nagasaki
9430,Kumamoto
9440,Oita
9450,Miyazaki
9461,Kagoshima
9462,Amami (Islands)
9471,Okinawa Main Island
9472,Daitojima Island
9473,Miyakojima Island
9474,Yaeyama
